,会社名,キャッチコピー,肩書,初年度年収
0,株式会社グリード | ＼ Web面接も可能 ／ 人気のエリア福岡でネクストキャリアを―！,"意欲次第で年収1,000万円も目指せます【 売買営業 】*年休120日 正社員",正社員,400万円～1000万円
1,日本コンセントリクス株式会社 | 土日祝休み／年休121日／残業月10～20H以内／リモートワークOK,Microsoft社製品の【カスタマーサポート】★大阪・札幌勤務★ 契約社員,契約社員,350万円～400万円
2,和光建物総合管理株式会社,【マンション管理フロント】中途入社100％！人生経験を生かせる 正社員,正社員,
3,株式会社ブルーム | ☆最大8連休の長期休暇あり☆嬉しい毎月のインセン＆報奨金あり,未経験歓迎！【エステティシャン】★日曜定休★残業ほぼナシ 正社員,正社員,300万円～360万円
4,株式会社エフォート | 大阪府緊急雇用対策に賛同｜年間休日120日 × 土日祝休み！,未経験からスタートOK！【営業アシスタント】☆月収50万円も可！ 正社員,正社員,
5,株式会社ルクス | コロナ禍でも急成長の業界/実力次第で高収入/20～30代活躍中,リスティング・WEB広告担当者求ム【WEBマーケティング】未経験OK 正社員,正社員,
6,昭和エンジニアリング株式会社 | 【幅広い年代が多数活躍中！】※大阪府緊急雇用対策に賛同,月給50万円以上を保証！【土木施工管理】※NEXCOや国交省と取引 契約社員,契約社員,600万円～1080万円
7,大津紙運輸株式会社 | 【大津板紙株式会社の子会社】★資格は会社全額負担で取得OK,力仕事ほぼなし！将来性抜群の【倉庫管理】※賞与4ヶ月分 正社員,正社員,370万円～440万円
8,タウンクロス株式会社 | 賞与5～6か月支給実績あり！★12年連続増収増益の安定基盤★,【営業】未経験でもOK！100%人物採用です◎月給25万円～の好待遇 正社員,正社員,350万円～450万円
9,株式会社ゼント | 東京都大田区に人気の「アパマンショップ」4店舗を展開！,完全反響型の【ルームアドバイザー】1年目で年収600万円も可能！ 正社員,正社員,
10,株式会社TEC三河 | ★人手不足が続く三河は豊かな市場！だから営業しやすさ抜群！,【人材コーディネーター】＊完全週休2日＊残業少なめ＊転勤なし 正社員,正社員,300万円～600万円
11,株式会社シュテルン品川 | MBSC優秀賞を多数受賞／正規販売店でトップクラスの待遇と実績,メルセデス・ベンツの【セールススタッフ】※自動車業界未経験OK 正社員,正社員,400万円～1000万円
12,株式会社ショウエー設計測量事務所 | 昭和46年創立,【建築測量(墨出し)】高収入を目指せる会社/入社祝い金5万円支給 正社員,正社員,
13,株式会社スカーラサポート | 《面接1回》《社員の9割が月給30万円以上実現》《普通免許でOK》,【レッカーサービススタッフ】◎年齢不問 ◎埼玉・東京募集 正社員,正社員,350万円～600万円
14,株式会社Ｔ．ｖａｌｕｅ | 明確な評価制度／インセン平均40～50万円／半年で役職も可能！,立ち上げ期のメンバーを募集！【提案営業】月給27万円+インセン 正社員,正社員,
15,恵豊自動車交通株式会社 | 11年連続業界No.1日本交通グループ／創業90年／安定企業,年収890万円も目指せる！【JPNドライバー】入社祝金10万円！ 正社員,正社員,320万円～400万円
16,伸栄電機株式会社 | 【大阪府緊急雇用対策に賛同】大手企業や官公庁と取引実績多数,未経験でも月給30万円～！高収入も叶う【電気工事士】☆転勤なし 正社員,正社員,
17,株式会社エル光源 | 官公庁や大手企業からの直請け多数｜高い技術力で業界をリード,【設計エンジニア】原則定時退社／土日祝休／高収入／転勤なし 正社員,正社員,420万円～720万円
18,有限会社東栄空調 | ＜ もっと快適な毎日を♪＞ 技術光る／大規模空調設備の実績豊富,働きやすさが一味違う！【設備工事】★UIターン歓迎/WEB面接OK★ 正社員,正社員,
19,株式会社ベルハウス | 17年連続で増収増益！安定感は抜群 ★駅徒歩1分の好立地,【不動産営業】★完全週休2日制・未経験から年収800万円以上も！ 正社員,正社員,550万円～800万円
20,株式会社ニューアート・シーマ | 日本最大級のダイヤモンド専門店『銀座ダイヤモンドシライシ』,東北募集／ブライダルジュエリーの【コンシェルジュ】※未経験可 正社員,正社員,
21,株式会社西田防災 | <未経験歓迎>残業少なめ＆時差出勤あり／リフレッシュ休暇あり,防災設備の【メンテナンススタッフ】★意欲・ポテンシャル重視！ 正社員,正社員,324万円～360万円
22,三和ペイント株式会社 | ☆先輩社員のほとんどが年収UP！裁量大きく活躍可！☆全国募集,コロナ禍でも減給＆解雇ゼロ！塗装の【営業職】☆未経験歓迎！ 正社員,正社員,
23,株式会社九神ファームめむろ | 農業王国めむろで”のびのび”と働ける環境です！女性活躍中♪,「 家庭の食卓 」を支える♪【 障がい者支援スタッフ 】 正社員,正社員,300万円～500万円
24,廣見家具株式会社 | 【大阪府緊急雇用対策に賛同】和歌山・大阪募集／20～30代活躍中,家具のトータルコーディネートを提案！【販売スタッフ】経験不問 正社員,正社員,270万円～400万円
25,希光建設株式会社 | 高収入も実現！年収例800万円/経験5年〈 入社祝い金10万円支給〉,総合建設業【土木・建築施工管理】★経験者積極採用★年齢不問 正社員,正社員,450万円～800万円
26,株式会社沖縄ユーポス | 【 ユーポスグループ 】20代の若手社員が続々と入社しています,原則残業なし★働きやすい環境・高収入が手に入る！【 営業職 】 正社員,正社員,
